"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"8276","平和堂","東P","2676","-13.0(-0.48%)","686,522"
"8282","ケーズＨＬＤＧ","東P","1837.0","-26.5(-1.42%)","1,161,346"
"8303","ＳＢＩ新生銀行","東P","1521.5","-26.5(-1.71%)","4,302,801"
"8304","あおぞら銀行","東P","3358.0","-23.0(-0.68%)","5,043,083"
"8306","三菱ＵＦＪ　ＦＧ","東P","3601.0","-55.0(-1.50%)","130,569,217"
"8308","りそなＨＬＤＧ","東P","2412.0","-79.0(-3.17%)","22,257,277"
"8309","三井住友トラストグループ","東P","1730.0","-26.5(-1.51%)","14,908,424"
"8316","三井住友ＦＧ","東P","6801.0","-127.0(-1.83%)","73,452,302"
"8331","千葉銀行","東P","2681.5","-70.0(-2.54%)","6,236,862"
"8334","群馬銀行","東P","2799.5","-59.5(-2.08%)","2,908,809"
"8336","武蔵野銀行","東P","2712","-22.0(-0.80%)","680,207"
"8338","筑波銀行","東P","717","-22.0(-2.98%)","1,506,689"
"8341","七十七銀行","東P","3845.0","-40.0(-1.03%)","2,313,184"
"8343","秋田銀行","東P","8930","-70.0(-0.78%)","1,233,321"
"8344","山形銀行","東P","4555","-55.0(-1.19%)","627,524"
"8345","岩手銀行","東P","2491","-19.0(-0.76%)","747,489"
"8346","東邦銀行","東P","969","-7.0(-0.72%)","851,363"
"8354","ふくおかＦＧ","東P","7592.0","-138.0(-1.79%)","4,274,086"
"8358","スルガ銀行","東P","2839","-69.0(-2.37%)","2,193,590"
"8359","八十二長野銀行","東P","2622.5","-104.5(-3.83%)","3,142,969"
"8360","山梨中央銀行","東P","6850","-150.0(-2.14%)","981,380"
"8361","大垣共立銀行","東P","7860","-90.0(-1.13%)","1,349,720"
"8362","福井銀行","東P","7000","-190.0(-2.64%)","590,415"
"8366","滋賀銀行","東P","2760","-46.0(-1.64%)","1,741,745"
"8367","南都銀行","東P","1882","-15.0(-0.79%)","751,304"
"8368","百五銀行","東P","2282","-18.0(-0.78%)","1,888,468"
"8370","紀陽銀行","東P","4990","-60.0(-1.19%)","653,009"
"8377","ほくほくＦＧ","東P","7910.0","-166.0(-2.06%)","3,185,727"
"8381","山陰合同銀行","東P","2514","-36.0(-1.41%)","957,793"
"8386","百十四銀行","東P","2973","-27.0(-0.90%)","871,677"
"8387","四国銀行","東P","3745","+0.0(+0.00%)","520,566"
"8388","阿波銀行","東P","9710","-120.0(-1.22%)","1,615,572"
"8392","大分銀行","東P","2910","-42.0(-1.42%)","784,118"
"8393","宮崎銀行","東P","2571","+9.0(+0.35%)","677,615"
"8410","セブン銀行","東P","332.8","-4.5(-1.33%)","1,447,132"
"8411","みずほＦＧ","東P","8476.0","-123.0(-1.43%)","70,676,364"
