ticker,price,target_price,stop_price,prob_win,prob_stop,beta,vol_ratio,turnover_oku,action,reason
1963.T,2312.0,2470.4,2232.8,0.3444,0.549,0.73,1.24,38.1,⏸️ WAIT,確信度不足
9735.T,6336.0,6519.1,6244.4,0.3444,0.5496,-0.13,1.39,83.1,⏸️ WAIT,確信度不足
1812.T,4897.0,5158.3,4766.4,0.3442,0.5521,0.82,1.11,125.3,⏸️ WAIT,確信度不足
7337.T,2361.0,2465.8,2308.6,0.3442,0.5489,0.5,1.53,13.8,⏸️ WAIT,確信度不足
9984.T,6540.0,7237.4,6191.3,0.3442,0.5587,2.74,0.76,5963.4,⏸️ WAIT,確信度不足
5802.T,2077.5,2254.6,1988.9,0.3441,0.5689,1.54,0.84,370.1,⏸️ WAIT,確信度不足
7832.T,5359.0,5665.9,5205.6,0.3441,0.5464,-0.12,0.96,181.9,⏸️ WAIT,確信度不足
8368.T,2399.0,2557.7,2319.6,0.3441,0.5534,0.92,1.62,15.6,⏸️ WAIT,確信度不足
4368.T,2800.0,2988.6,2705.7,0.3438,0.5569,1.6,1.36,20.6,⏸️ WAIT,確信度不足
4536.T,1725.0,1803.9,1685.5,0.3438,0.549,0.23,1.11,19.6,⏸️ WAIT,確信度不足
5214.T,4802.0,5047.7,4679.1,0.3438,0.5609,1.29,0.85,30.7,⏸️ WAIT,確信度不足
6254.T,3260.0,3516.4,3131.8,0.3438,0.5598,1.81,1.23,14.1,⏸️ WAIT,確信度不足
6278.T,12530.0,13965.7,11812.1,0.3438,0.5637,2.05,1.24,24.5,⏸️ WAIT,確信度不足
5333.T,5001.0,5374.7,4814.1,0.3437,0.5694,1.46,1.54,71.2,⏸️ WAIT,確信度不足
6845.T,1437.0,1495.0,1408.0,0.3437,0.5522,0.8,1.16,18.6,⏸️ WAIT,確信度不足
5232.T,5590.0,5927.3,5421.4,0.3434,0.5539,0.88,0.99,11.2,⏸️ WAIT,確信度不足
6871.T,12680.0,14302.9,11868.6,0.3434,0.5587,1.93,1.21,157.1,⏸️ WAIT,確信度不足
7011.T,3705.0,3940.1,3587.4,0.3434,0.5573,0.83,1.04,497.0,⏸️ WAIT,確信度不足
4676.T,4034.0,4200.7,3950.6,0.3433,0.5626,-0.16,1.02,19.5,⏸️ WAIT,確信度不足
2587.T,4456.0,4588.7,4389.6,0.3432,0.5568,-0.22,0.94,41.2,⏸️ WAIT,確信度不足
5471.T,2313.0,2487.7,2225.6,0.3432,0.5618,1.71,1.02,24.3,⏸️ WAIT,確信度不足
3397.T,4257.0,4410.7,4180.1,0.3431,0.5569,-0.54,0.75,15.4,⏸️ WAIT,確信度不足
